Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Actual Risk,Predicted Risk (XGB)
24,0,2,1,0,0,3190,18,5,Good,Good
35,1,1,1,1,0,4380,18,1,Good,Good
32,1,2,1,1,0,2325,24,1,Good,Good
23,1,2,2,0,3,1297,12,5,Good,Good
35,1,3,1,0,2,7253,33,1,Bad,Bad
64,1,1,2,0,0,2384,24,5,Good,Good
41,1,2,1,0,3,2116,6,4,Good,Good
20,1,2,2,0,1,585,12,5,Good,Good
26,1,2,2,1,2,3577,9,1,Good,Good
27,1,2,1,4,2,8613,27,1,Bad,Bad
28,1,1,1,0,1,484,6,5,Good,Good
34,1,2,1,0,0,3965,42,5,Good,Good
28,0,2,1,3,2,1376,24,5,Good,Good
36,1,2,2,0,0,7297,60,0,Bad,Bad
42,1,2,0,0,1,6288,60,3,Bad,Bad
42,1,2,1,0,0,4153,18,4,Good,Good
23,1,2,2,4,2,3368,15,1,Good,Good
65,0,0,1,0,2,1098,18,5,Good,Good
24,0,2,2,0,0,2124,18,4,Good,Good
27,0,1,1,0,0,3643,15,4,Good,Good
35,1,2,0,2,2,8858,48,1,Bad,Bad
26,1,2,1,0,0,3414,21,3,Good,Good
33,1,2,1,0,2,6070,18,5,Good,Good
42,1,1,1,0,2,1503,4,5,Good,Good
33,1,2,1,2,2,3074,9,5,Good,Good
30,1,3,1,0,0,1823,24,5,Good,Good
24,1,2,2,0,1,2323,36,5,Good,Good
33,1,2,1,0,3,6289,42,0,Bad,Bad
42,1,2,0,2,2,10477,36,1,Bad,Bad
38,1,3,1,2,2,2859,12,1,Good,Good
23,1,2,1,0,1,882,13,5,Good,Good
44,0,1,2,0,3,1881,12,5,Good,Good
32,1,2,1,0,2,1530,18,1,Good,Good
28,1,2,1,1,3,1323,6,1,Good,Good
36,1,2,1,2,2,3079,36,1,Good,Good
36,1,2,0,2,1,2760,24,1,Good,Good
30,1,2,0,1,1,2862,36,1,Good,Good
52,0,3,0,2,2,2133,12,1,Good,Good
44,1,2,1,2,2,3485,20,1,Good,Good
23,0,1,2,0,0,6229,36,4,Bad,Bad
31,1,2,1,0,3,4473,36,5,Good,Good
61,0,2,1,2,2,2012,12,3,Good,Good
26,0,2,1,0,3,3749,24,4,Good,Good
33,0,2,1,0,2,2831,30,5,Good,Good
32,1,2,1,4,1,2745,21,4,Good,Good
49,1,1,1,2,0,1262,12,4,Good,Good
55,1,2,1,0,0,6872,24,4,Good,Good
30,0,2,1,0,1,918,9,4,Good,Good
26,0,0,1,0,3,609,12,0,Good,Good
23,0,1,2,0,2,601,4,4,Good,Good
23,0,1,2,0,0,3234,24,4,Good,Good
36,1,2,1,2,2,6742,30,5,Bad,Bad
55,0,2,1,0,0,1603,24,5,Good,Good
27,1,2,1,0,1,2820,36,1,Good,Good
