Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Actual Risk,Predicted Risk (XGB)
24,female,2,own,little,little,3190,18,radio/TV,Good,
35,male,1,own,moderate,little,4380,18,car,Good,
32,male,2,own,moderate,little,2325,24,car,Good,
23,male,2,rent,little,,1297,12,radio/TV,Good,
35,male,3,own,little,rich,7253,33,car,Bad,
64,male,1,rent,little,little,2384,24,radio/TV,Good,
41,male,2,own,little,,2116,6,furniture/equipment,Good,
20,male,2,rent,little,moderate,585,12,radio/TV,Good,
26,male,2,rent,moderate,rich,3577,9,car,Good,
27,male,2,own,,rich,8613,27,car,Bad,
28,male,1,own,little,moderate,484,6,radio/TV,Good,
34,male,2,own,little,little,3965,42,radio/TV,Good,
28,female,2,own,rich,rich,1376,24,radio/TV,Good,
36,male,2,rent,little,little,7297,60,business,Bad,
42,male,2,free,little,moderate,6288,60,education,Bad,
42,male,2,own,little,little,4153,18,furniture/equipment,Good,
23,male,2,rent,,rich,3368,15,car,Good,
65,female,0,own,little,rich,1098,18,radio/TV,Good,
24,female,2,rent,little,little,2124,18,furniture/equipment,Good,
27,female,1,own,little,little,3643,15,furniture/equipment,Good,
35,male,2,free,quite rich,rich,8858,48,car,Bad,
26,male,2,own,little,little,3414,21,education,Good,
33,male,2,own,little,rich,6070,18,radio/TV,Good,
42,male,1,own,little,rich,1503,4,radio/TV,Good,
33,male,2,own,quite rich,rich,3074,9,radio/TV,Good,
30,male,3,own,little,little,1823,24,radio/TV,Good,
24,male,2,rent,little,moderate,2323,36,radio/TV,Good,
33,male,2,own,little,,6289,42,business,Bad,
42,male,2,free,quite rich,rich,10477,36,car,Bad,
38,male,3,own,quite rich,rich,2859,12,car,Good,
23,male,2,own,little,moderate,882,13,radio/TV,Good,
44,female,1,rent,little,,1881,12,radio/TV,Good,
32,male,2,own,little,rich,1530,18,car,Good,
28,male,2,own,moderate,,1323,6,car,Good,
36,male,2,own,quite rich,rich,3079,36,car,Good,
36,male,2,free,quite rich,moderate,2760,24,car,Good,
30,male,2,free,moderate,moderate,2862,36,car,Good,
52,female,3,free,quite rich,rich,2133,12,car,Good,
44,male,2,own,quite rich,rich,3485,20,car,Good,
23,female,1,rent,little,little,6229,36,furniture/equipment,Bad,
31,male,2,own,little,,4473,36,radio/TV,Good,
61,female,2,own,quite rich,rich,2012,12,education,Good,
26,female,2,own,little,,3749,24,furniture/equipment,Good,
33,female,2,own,little,rich,2831,30,radio/TV,Good,
32,male,2,own,,moderate,2745,21,furniture/equipment,Good,
49,male,1,own,quite rich,little,1262,12,furniture/equipment,Good,
55,male,2,own,little,little,6872,24,furniture/equipment,Good,
30,female,2,own,little,moderate,918,9,furniture/equipment,Good,
26,female,0,own,little,,609,12,business,Good,
23,female,1,rent,little,rich,601,4,furniture/equipment,Good,
23,female,1,rent,little,little,3234,24,furniture/equipment,Good,
36,male,2,own,quite rich,rich,6742,30,radio/TV,Bad,
55,female,2,own,little,little,1603,24,radio/TV,Good,
27,male,2,own,little,moderate,2820,36,car,Good,
44,male,2,own,moderate,moderate,1804,12,car,Good,
36,male,2,own,,moderate,1913,18,business,Good,
37,male,2,rent,little,little,3676,6,car,Good,
25,female,2,rent,little,moderate,1295,12,car,Good,
23,female,2,rent,quite rich,little,1200,12,education,Good,
27,male,2,own,little,rich,1101,12,car,Good,
20,female,2,rent,quite rich,rich,4675,12,car,Good,
57,male,2,free,little,moderate,2225,36,car,Good,
31,male,2,own,quite rich,little,6350,30,furniture/equipment,Bad,
55,male,2,own,,rich,1413,12,car,Good,
23,female,2,own,little,,1275,10,furniture/equipment,Good,
29,male,2,own,moderate,moderate,2896,24,radio/TV,Good,
50,male,2,own,little,rich,2241,21,furniture/equipment,Good,
27,female,2,own,little,little,2389,18,radio/TV,Good,
30,female,2,own,little,rich,8133,36,car,Bad,
34,male,1,own,little,,2864,18,furniture/equipment,Good,
32,male,2,own,little,moderate,6078,12,car,Good,
38,male,2,own,quite rich,moderate,368,6,radio/TV,Good,
58,female,1,own,little,little,385,12,radio/TV,Good,
23,male,1,own,little,moderate,1048,10,radio/TV,Good,
44,female,3,free,little,little,6419,24,car,Good,
48,male,2,own,little,little,1024,24,radio/TV,Good,
45,male,2,own,little,little,2303,24,car,Good,
24,male,2,own,little,moderate,458,9,radio/TV,Good,
60,male,2,own,little,little,2246,12,furniture/equipment,Good,
33,male,1,own,moderate,little,727,12,radio/TV,Good,
26,female,2,own,little,rich,1453,18,radio/TV,Good,
29,female,2,own,little,rich,2171,12,radio/TV,Good,
32,male,2,own,little,rich,2697,9,radio/TV,Good,
22,male,2,own,,moderate,1007,12,car,Good,
32,male,2,own,little,rich,701,12,education,Good,
24,female,1,own,little,little,626,12,radio/TV,Good,
23,male,2,free,little,little,1845,45,radio/TV,Good,
27,male,3,own,little,moderate,14027,60,car,Bad,
